sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
58,Bilaspur,Email: src.hospital@gmail.com,"Tel. +91-7752-271111, aaRBee Institute of Medical Sciences,, A Unit of Bilasa Medicals Pvt. Ltd., Swarnajayanti Nagar Ring Road Bilaspur, Bilaspur, Chattisgarh-495001, Ph. 07752-413599, 7000470459, Mark Hospital,, Near Rajasva Colony","+91-7752-271111; 07752-413599, 7000470459",src.hospital@gmail.com,"hospital (OPD & Indoor) Total facilities of the hospital (OPD & Indoor), , Payments to be made in favor of BILASA MEDICALS PRIVATE LIMITED",10.09.2021,BILASPUR                                                       Payments to be made in          10.09.2021
59,Bilaspur,Mark Hospital,"Bilaspur, Chattisgarh-495001, Ph. 07752-413599, 7000470459, Near Rajasva Colony,, Kapil Nagar to Chantidih Road,, Sarkanda, Bilaspur, Chattisgarh 495006, Shri Krishna Netralaya.","07752-413599, 7000470459",,favor of BILASA MEDICALS PRIVATE LIMITED Accepted for Total facilities Acceptable for,24.11.2022,
60,Bilaspur,Shri Krishna Netralaya.,"Sarkanda, Bilaspur, Chattisgarh 495006, Link Road, Beside CMD Ground,, Bilaspur, Chhattisgarh., PIN-495001, Sanjeevani Hospital & Research Centre.",,,Acceptable for Ophthalmology Services Only (OPD & Indoor) For total facilities offered,15.02.2024,
61,Bilaspur,Sanjeevani Hospital & Research Centre.,"Bilaspur, Chhattisgarh., PIN-495001, Ware House Road,, Bilaspur, Chhattisgarh., PIN-495001, Pratham Hospital,, (Unit of Aaradhya Health Cares).",,,Only (OPD & Indoor) For total facilities offered by the hospital ( OPD and Indoor),15.02.2024,
62,Bilaspur,Pratham Hospital,"Bilaspur, Chhattisgarh., PIN-495001, (Unit of Aaradhya Health Cares)., Near Sarkanda Police Station, Bahtaray, Bilaspur, Chattisgarh., PIN-495001, Arpa Medcity Hospital and Research Ins",,,"Indoor) i Road, For Neurology and Neurosurgery Only titute",15.02.2024,
63,Bilaspur,Arpa Medcity Hospital and Research Ins,"Bilaspur, Chattisgarh., PIN-495001, Vyapar Vihar, Main Road,, Near SBI Commercial Branch, Bialspur (, Charrisgarh- 495001, Sankalp Eye Hospital,, Shrikant Verma Marg, Near Sony Showroo, Marimai Mandir Road, Vaishali Nagar, B, Chattisgarh 495001, Vinayak Nethralaya,, Agrasen Chowk, Link Road,, Bilaspur Chattisgarh 495001, Shri Shishu Bhawan",,,"Neurosurgery Only titute Total facilities of hospital C.G.) (OPD & Indoor) m, Maa Acceptable for ilaspur Ophthalmology Services Only.(OPD & Indoor) Acceptable for Ophthalmology Services Only (OPD & Indoor)",08.08.2024,
66,Bilaspur,Vinayak Nethralaya,"Agrasen Chowk, Link Road,, Bilaspur Chattisgarh 495001, Shri Shishu Bhawan,, Opp. Press Club, Idgah Road, Near Madh, Chowk, C.G.- 495001, Juneja Eye Hospital,, 3rd Floor, Above Apollo City Center, Ne, Chowk, Bilaspur (C.G.) PIN- 495001, Apollo Hospitals, Lingyadih Road, Oﬀ. Seepat, Road, Chhattisgarh PIN : 495001, PH :07752 -243300, 08/09755556536/09755550834, Surgy Centre, 225, Co-Operative Colony, BokaroSteelCi",07752 -243300,,"Acceptable for Ophthalmology Services Only (OPD & Indoor) yanagri Acceptable for Total Facilities ar CMD Acceptable for Ophthalmology Services Only (OPD & Indoor) Total facilities of hospital (OPD & Indoor) Payment as per MoU. ty, Acceptable for single",29.10.2024,"Road, Chhattisgarh PIN : 495001                     Payment as per MoU."
69,Bilaspur,Apollo Hospitals,"Lingyadih Road, Oﬀ. Seepat, Road, Chhattisgarh PIN : 495001, PH :07752 -243300, 08/09755556536/09755550834, Surgy Centre, 225, Co-Operative Colony, BokaroSteelCi, Jharkhand-827001, Ph. No. 06542-259604/255186, Fax: 22284, Email: surgycentre@gmail.com, K. M. Memorial Hospital & Research Cent, Bye Pass Road, Chas B. S. City",07752 -243300; 222842,surgycentre@gmail.com,"Total facilities of hospital (OPD & Indoor) Payment as per MoU. ty, Acceptable for single speciality Gynaecology and 2 Obstetrics care services. re,",08.10.2025,"Road, Chhattisgarh PIN : 495001                     Payment as per MoU."
70,Bokaro,K. M. Memorial Hospital & Research Cent,"Ph. No. 06542-259604/255186, Fax: 22284, Email: surgycentre@gmail.com, Bye Pass Road, Chas B. S. City, Bokaro Jharkhand-827013, Ph. 06542-236188-89, Fax-+91-6542-23639, Email: kmmhrc@rediffmail.com, Muskan Hospital and Research Centre, Ram Nagar Colony Chas","222842; 06542-236188-89,; +91-6542-236390",surgycentre@gmail.com; kmmhrc@rediffmail.com,"2 Obstetrics care services. re, Total facilities of the 0 hospital (OPD & Indoor)",25.09.2018,
71,Bokaro,Muskan Hospital and Research Centre,"Ph. 06542-236188-89, Fax-+91-6542-23639, Email: kmmhrc@rediffmail.com, Ram Nagar Colony Chas,, Bokaro, Jharkhand 827013, Medicant Hospital and Research Centre,, Officer's Colony, (Near Sudha Dairy), S","06542-236188-89,; +91-6542-236390",kmmhrc@rediffmail.com,"0 hospital (OPD & Indoor) Total facilities of the hospital (OPD & Indoor) BIADA Total facilities of hospital ector 12, (OPD & Indoor)",15.06.2022,
72,Bokaro,Medicant Hospital and Research Centre,"Officer's Colony, (Near Sudha Dairy), S, Bokaro Steel City, Jharkhand-827012, Chittaranjan Advanced Medical Referral, Bamchandaipur, G.T. Road",,,"hospital (OPD & Indoor) BIADA Total facilities of hospital ector 12, (OPD & Indoor) Institute,",08.10.2025,
73,Burdwan,Chittaranjan Advanced Medical Referral,"Bamchandaipur, G.T. Road,, Burdwan – 713104, Ph:- 0342-2541182, 2628376, FaX:-0342-2, E-mail:- office@camrihospital.com, Bengal Faith Hospital,, (A Unit of Bengal Faith Healthcare Priv, Limited).","0342-2541182, 2628376,; 0342-2628152",office@camrihospital.com,"Institute, Total facilities of hospital (OPD & Indoor) 628152 ate",17.07.2012,
74,Burdwan,Bengal Faith Hospital,"Ph:- 0342-2541182, 2628376, FaX:-0342-2, E-mail:- office@camrihospital.com, (A Unit of Bengal Faith Healthcare Priv, Limited)., Health City, Goda, PO: Lakurdi,, Burdwan, West Bengal., PIN-713102, FortisHospital, Sector 62, Phase VIII, Mohali – 160062, Ph: 0172- 4692222, 5021222","0342-2541182, 2628376,; 0342-2628152; 0172- 4692222, 5021222,",office@camrihospital.com,"(OPD & Indoor) 628152 ate Total facilities of hospital (OPD & Indoor) Acceptable for Cardiac (Cardiology and Cardiac Surgery) Package, Ortho",15.02.2024,
75,Chandigarh,"Burdwan, West Bengal.","PIN-713102, FortisHospital, Sector 62, Phase VIII, Mohali – 160062, Ph: 0172- 4692222, 5021222,, Fax: 0172-4692221/ 5096221,, E-Mail: contactus.mohali@fortishealthca, Shri Sai Divine Cure Multispeciality Ho","0172- 4692222, 5021222,; 0172-4692221/ 5096221,",contactus.mohali@fortishealthcare.com,"(OPD & Indoor) Acceptable for Cardiac (Cardiology and Cardiac Surgery) Package, Ortho Joint Replacement re.com packages and Renal Transplant for In-patient services only spital",01.03.2012,
76,Chandrapur,Shri Sai Divine Cure Multispeciality Ho,"Bhanapeth Ward, Chandrapur- 442402, Maharashtra, Ph:- 07172-252456 / 256456, E-mail:- drkuber.kotpalliwar@rediffmail, Sanjivani Orthopaedic & Fracture Hospit",07172-252456 / 256456             (,drkuber.kotpalliwar@rediffmail.com,Transplant for In-patient services only spital Total facilities of hospital (OPD & Indoor) .com al,18.06.2014,
77,Chandrapur,Wasade Hospital,"Maharashtra, Ph:- 07172-252456 / 256456, E-mail:- drkuber.kotpalliwar@rediffmail, Sanjivani Orthopaedic & Fracture Hospit, Tukum, Chandrapur, Maharashtra- 442401, Ph:- 07172-601010 / 09860448879, Civil Lines, Chandrapur, Maharashtra, Telefax No. 07172 251008, CHL Multispeciality Hospital & Research, Opposite Adarsh Petrol Pump, Sarkar Nag, Mul Road, Chandrapur-442401, Maharashtr, Tel. 07172 645005/ 272203, Mobile: 9763724723/96577177301/75071356, Email: ainchwar.rohan@gmail.com,, corporatechchlmhrc@gmail.com, Manwatkar Multispeciality Hospital,, Behind Jayant Talkies, Near Medicine Co, Ekori Ward, Chandrapur (442402), Maharashtra, CHETTINAD HOSPITAL & RESEARCH INSTITUTE, CHETTINAD Health City, Rajiv Gandhi Sal",07172-252456 / 256456             (; 07172-601010 / 09860448879; 07172 645005/ 272203,corporatechchlmhrc@gmail.com; drkuber.kotpalliwar@rediffmail.com; ainchwar.rohan@gmail.com,"(OPD & Indoor) .com al Single speciality orthopedic treatment Single specialty -Ortho/ Bone, joint replacement (OPD & Indoor) Center, ar, a Single speciality CARDIOLOGY 88 (OPD & Indoor) Total facilities of hospital mplex, (OPD & Indoor) Payments in Favor of Manwatkar Multispeciality Hospital ai,",18.06.2014,"Behind Jayant Talkies, Near Medicine Complex,     (OPD & Indoor) Payments Chandrapur   Ekori Ward, Chandrapur (442402)                   in Favor of                     31.12.2021"
81,Chandrapur,Manwatkar Multispeciality Hospital,"Behind Jayant Talkies, Near Medicine Co, Ekori Ward, Chandrapur (442402), Maharashtra, CHETTINAD HOSPITAL & RESEARCH INSTITUTE, CHETTINAD Health City, Rajiv Gandhi Sal, Kelambakkam, Distt-Kancheepuram-603103,, Tel: 044-47411000,3300, Fax: 0444741101, E-Mail: mail@chettinadhealthcity.com, Sugam Hospital, 349, Thiruvottiyur High Road","044-47411000,3300,; 04447411011,",mail@chettinadhealthcity.com,"Total facilities of hospital mplex, (OPD & Indoor) Payments in Favor of Manwatkar Multispeciality Hospital ai, Total facilities of hospital TN (OPD & Indoor) 1,",31.12.2021,"Behind Jayant Talkies, Near Medicine Complex,     (OPD & Indoor) Payments Chandrapur   Ekori Ward, Chandrapur (442402)                   in Favor of                     31.12.2021"
82,Chennai,Sugam Hospital,"Tel: 044-47411000,3300, Fax: 0444741101, E-Mail: mail@chettinadhealthcity.com, 349, Thiruvottiyur High Road,, Thiruvottiyur, Chennai- 600019, Tel: 044 – 25733830 /25733296,, Fax: 044-25739902, SOUNDARAPANDIAN BONE AND JOINT HOSPITAL, & RESEARCH INSTITUTE PVT. LTD","044-47411000,3300,; 04447411011,; 044-25739902",mail@chettinadhealthcity.com,"(OPD & Indoor) 1, Total facilities of hospital (OPD & Indoor)",01.03.2012,
83,Chennai,SOUNDARAPANDIAN BONE AND JOINT HOSPITAL,"Tel: 044 – 25733830 /25733296,, Fax: 044-25739902, & RESEARCH INSTITUTE PVT. LTD, AA-16, 3rdMain Road, Anna Nagar,, Chennai – 600040,, Ph: 044-26211026, 42066667, Fax: 044-26, Email: amin@boneandjointindia.com, SRUSHTI HOSPITAL PVT LTD, 1, Padmavathy Street, Thirumalai Nagar","044-25739902; 044-26211026, 42066667,; 044-26213266",amin@boneandjointindia.com,(OPD & Indoor) SINGLE SPECIALTY FOR ORTHOPAEDIC SERVICES 213266,09.11.2012,
84,Chennai,SRUSHTI HOSPITAL PVT LTD,"Chennai – 600040,, Ph: 044-26211026, 42066667, Fax: 044-26, Email: amin@boneandjointindia.com, 1, Padmavathy Street, Thirumalai Nagar,, Ramapuram, Chennai- 600089, Ph: 044-24861144, 24863544, 9840453454, Fax: 044-24867527","044-26211026, 42066667,; 044-26213266; 044-24861144, 24863544, 9840453454; 044-24867527,",amin@boneandjointindia.com,"ORTHOPAEDIC SERVICES 213266 TOTAL FACILITIES (OPD & Indoor) For eye treatment only. 1. Reimbursement on actual basis of hospital 01.4.2012,",09.11.2012,
85,Chennai,Shankar Nethralaya,"Ph: 044-24861144, 24863544, 9840453454, Fax: 044-24867527,, Medical Research Foundation, New No. 41, No. 18, College Road, Chennai – 600006,, Nadu., MGM Healthcare Pvt Ltd, No. 72, Nelson, Manickam Road, Aminjikarai, Chennai-600","044-24861144, 24863544, 9840453454; 044-24867527,",,"Indoor) For eye treatment only. 1. Reimbursement on actual basis of hospital 01.4.2012, rate Updated 23rd 2. Refer only in case of / Old May 2019 diagnostic and Tamil therapeutic dilemma and not on routine basis 029",,
86,Chennai,"MGM Healthcare Pvt Ltd, No. 72, Nelson","No. 18, College Road, Chennai – 600006,, Nadu., Manickam Road, Aminjikarai, Chennai-600, MGM Cancer Institute,, 119 & 121, Nelson Manickam Road,, Rajeswari Street, Rajaram Mehta Nagar",,,diagnostic and Tamil therapeutic dilemma and not on routine basis 029 Total facilities of hospital (OPD & Indoor),16.07.2025,
87,Chennai,"ollo Specialty Cancer Hospital, 320, Ann","MGM Cancer Institute,, 119 & 121, Nelson Manickam Road,, Rajeswari Street, Rajaram Mehta Nagar,, Aminjikarai, Chennai-600029, eneagles Global Health City,, 9 Cheran Nagar, Sholinganallur,, davakkam Road, Perumbakkam,, ennai-600100, ittaranjankumar.chaubey@globalhospitalsi, om, one: 044-44777000, 044-44777100, b: gleneaglesglobalhospitals.com, ollo Hospitals, 21, ,Greams Road, Greams, mil Nadu PIN : 600006, :044 - 28290200/28293333, lai, Nandanam Padma Complex, mil Nadu PIN : 600035",044 - 28290200/28293333,,"(OPD & Indoor) Accepted for Oncology Services Only. Accepted for Cardiology, Cardiothoracic Surgery, Joint Replacement, Nephrology and Dialysis, ndia Oncology (Medical Surgical and Radiation), Rheumatology, Neuro Medicine, General Medicine, Laboratory and Radiological Investigations lane Total facilities of hospital (OPD & Indoor) Payment as per MoU. a Total facilities of hospital (OPD & Indoor) Payment as per MoU.",16.07.2025,PH :044 - 28290200/28293333                       Payment as per MoU. Tamil Nadu PIN : 600035                           Payment as per MoU.
90,Chennai,"ollo Specialty Cancer Hospital, 320, Ann","lai, Nandanam Padma Complex, mil Nadu PIN : 600035, :044 - 24336119 /24363572, ollo Hospitals Tondiarpet, 645 & 646, T, ad Tamil Nadu PIN : 600081, :044-25913333, ollo Children's Hospital, 15, Shaﬁ Moham, ad, Thousand Lights, mil Nadu PIN : 600006",044 - 24336119 /24363572; 044-25913333,,a Total facilities of hospital (OPD & Indoor) Payment as per MoU. H Total facilities of hospital (OPD & Indoor) Payment as per MoU. med Total facilities of hospital (OPD & Indoor) Payment as per MoU.,08.10.2025,Tamil Nadu PIN : 600035                           Payment as per MoU. PH :044-25913333                                  Payment as per MoU. Tamil Nadu PIN : 600006                           Payment as per MoU.
92,Chennai,"ollo Children's Hospital, 15, Shaﬁ Moham","ad, Thousand Lights, mil Nadu PIN : 600006, :044-28296262, ollo Speciality Hospitals, 64, Vanagaram, battur main road, Ayanambakkam, mil Nadu PIN : 600095",044-28296262,,med Total facilities of hospital (OPD & Indoor) Payment as per MoU. to Total facilities of hospital (OPD & Indoor) Payment as per MoU.,08.10.2025,Tamil Nadu PIN : 600006                           Payment as per MoU. Tamil Nadu PIN : 600095                           Payment as per MoU.
93,Chennai,"ollo Proton Cancer Centre, 4/661, Dr. Vi","ollo Speciality Hospitals, 64, Vanagaram, battur main road, Ayanambakkam, mil Nadu PIN : 600095, :044 - 26537005, rabhai Instronic Estate, 7th Street, Dr., tate Phase II, Taramani",044 - 26537005,,to Total facilities of hospital (OPD & Indoor) Payment as per MoU. kram Total facilities of hospital Vasi (OPD & Indoor) Payment as per MoU.,08.10.2025,"Tamil Nadu PIN : 600095                           Payment as per MoU. Estate Phase II, Taramani                         Payment as per MoU."
94,Chennai,"ollo Proton Cancer Centre, 4/661, Dr. Vi","rabhai Instronic Estate, 7th Street, Dr., tate Phase II, Taramani, mil Nadu PIN : 600096, :044 – 2545 8888, pollo Women’s & Cradle, o: 16, Shafee Mohammed Road, Thousand, ight",,,kram Total facilities of hospital Vasi (OPD & Indoor) Payment as per MoU. Total facilities of hospital (OPD & Indoor) Payment as per MoU.,08.10.2025,"Estate Phase II, Taramani                         Payment as per MoU. Light                                              Payment as per MoU."
95,Chennai,H :044 – 28293333,"pollo Women’s & Cradle, o: 16, Shafee Mohammed Road, Thousand, ight, amil Nadu PIN : 600006, pollo Speciality Hospitals @ OMR, 05/639, ahabalipuram Road, amil Nadu PIN : 600096",,,"Total facilities of hospital (OPD & Indoor) Payment as per MoU. , Old Total facilities of hospital (OPD & Indoor) Payment as per MoU.",08.10.2025,Light                                              Payment as per MoU. Tamil Nadu PIN : 600096                            Payment as per MoU.
96,Chennai,H :044 – 33221111,"pollo Speciality Hospitals @ OMR, 05/639, ahabalipuram Road, amil Nadu PIN : 600096, SHWINI HOSPITAL",,,", Old Total facilities of hospital (OPD & Indoor) Payment as per MoU.",08.10.2025,Tamil Nadu PIN : 600096                            Payment as per MoU.
97,Cuttack,SHWINI HOSPITAL,"ector -1, CDA, Bidanasi, Cuttack - 75301, h:0671-2363007 / 008 / 009,, ax: 0671-2363010, R. AGARWAL’S EYE HOSPITAL, BC TOWER, LINK ROAD SQUARE","0671-2363007 / 008 / 009,                       (; 0671-2363010",,"4, Total facilities of hospital (OPD & Indoor)",17.07.2012,
98,Cuttack,R. AGARWAL’S EYE HOSPITAL,"h:0671-2363007 / 008 / 009,, ax: 0671-2363010, BC TOWER, LINK ROAD SQUARE,, ADHUPATNA, CUTTACK- 753010, H.NO.: 0671-2342288/2343288, Fax: 232950, MAIL: cuttack@dragarwal.com, un Hospital, Tulsipur, Cuttack, Orissa-","0671-2363007 / 008 / 009,                       (; 0671-2363010; 2329508",cuttack@dragarwal.com,(OPD & Indoor) Single Speciality for Eye Treatment 8 753008,11.11.2013,
99,Cuttack,"un Hospital, Tulsipur, Cuttack, Orissa-","H.NO.: 0671-2342288/2343288, Fax: 232950, MAIL: cuttack@dragarwal.com, h:- 0671-2301402/2307126/2307127, ax:- 0671-2307125, -mail:- info@sunhospitals.com, ADGURU MEDICAL & RESEARCH CENTRE",2329508; 0671-2301402/2307126/2307127; 0671-2307125                                                                18,info@sunhospitals.com; cuttack@dragarwal.com,Treatment 8 753008 Total facilities of hospital (OPD & Indoor),18.06.2014,
100,Cuttack,ADGURU MEDICAL & RESEARCH CENTRE,"-mail:- info@sunhospitals.com, VT.LTD., JAGATPUR, CUTTACK -754021, H. NO.: 0671-2491626/726, FAX: 0671-2491, MAIL: mail@sadgurumedicals.com, CG Panda Curie Cancer Hospital",0671-2491726       (,info@sunhospitals.com; mail@sadgurumedicals.com,(OPD & Indoor) Total facilities of hospital 726 (OPD & Indoor),11.11.2013,
101,Cuttack,"H. NO.: 0671-2491626/726, FAX: 0671-2491","MAIL: mail@sadgurumedicals.com, CG Panda Curie Cancer Hospital, H- 5 Telengapentha, Cuttack- 753051, h:- 0671-3366999 / 2586377, Fax- 0671258, hanti Memorial Hospital Pvt. Ltd., atnaik Colony, Thoria Sahi, Cuttack- 753","0671-2491726       (; 0671-3366999 / 2586377,; 06712586981",mail@sadgurumedicals.com,726 (OPD & Indoor) Single speciality cancer hospital 6981 001.,18.06.2014,
102,Patna,hanti Memorial Hospital Pvt. Ltd.,"h:- 0671-3366999 / 2586377, Fax- 0671258, atnaik Colony, Thoria Sahi, Cuttack- 753, h:- 0671-2415250 / 2415260/ 1800-3454-55, ax- 0671-2586981, -mail: info@shantimemorialhospital.com, ristideep Eye Institute LLP","0671-3366999 / 2586377,; 06712586981; 0671-2415250 / 2415260/ 1800-3454-550                                        06; 0671-2586981",info@shantimemorialhospital.com,hospital 6981 001. Total facilities of the 0 hospital (OPD & Indoor) Acceptable for,06.01.2017,
103,Dankuni,ristideep Eye Institute LLP,"ax- 0671-2586981, -mail: info@shantimemorialhospital.com, niversal Enclave, Subhas Pally North,, urgapur Expressway Service Road, Dankuni, ooghly, West Bengal, PIN: 712311, sarfi Hospital Limited, aramuri, P.O.-Bishunpur Polytechnic",0671-2586981,info@shantimemorialhospital.com,"hospital (OPD & Indoor) Acceptable for Ophthalmology Services , Only.(OPD & Indoor)",29.10.2024,
104,Durg,sarfi Hospital Limited,"urgapur Expressway Service Road, Dankuni, ooghly, West Bengal, PIN: 712311, aramuri, P.O.-Bishunpur Polytechnic,, hanbad (Jharkhand) - 828130, h: +91-9234302735; Fax- 08817844529, mail: asarfihospital@hotmail.com, sian Dwarkadas Jalan Super Speciality Ho, A unit of Blue Sapphire Health Care Pvt., ear City Centre, Bartand, Dhanbad-826001, h. : +91-326-70703888/+919350025002, mail: info-db@aimsindia.co.in, ragati Medical and Research Centre",+91-9234302735; 08817844529,asarfihospital@hotmail.com; info-db@aimsindia.co.in,", Only.(OPD & Indoor) Total facilities of the hospital (OPD & Indoor) spital, Ltd.) For total facilities offered , by the hospital ( OPD and Modified on Indoor)",06.10.2016,
